parcellation,space,level,n_parcels,symmetric,resolution,publication,license
Yan400,fsLR,cortex,400,True,32k,10.1016/j.neuroimage.2023.120010,free
Yan400,fsaverage,cortex,400,True,41k,10.1016/j.neuroimage.2023.120010,free
Yan1000,MNI152NLin6Asym,cortex,1000,True,1mm,10.1016/j.neuroimage.2023.120010,free
Yan1000,MNI152NLin2009cAsym,cortex,1000,True,1mm,10.1016/j.neuroimage.2023.120010,free
Yan1000,fsLR,cortex,1000,True,32k,10.1016/j.neuroimage.2023.120010,free
Yan1000,fsaverage,cortex,1000,True,41k,10.1016/j.neuroimage.2023.120010,free
TianS1,MNI152NLin6Asym,subcortex,16,True,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
TianS1,MNI152NLin2009cAsym,subcortex,16,True,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
TianS2,MNI152NLin6Asym,subcortex,32,True,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
TianS2,MNI152NLin2009cAsym,subcortex,32,True,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
TianS3,MNI152NLin6Asym,subcortex,50,True,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
TianS3,MNI152NLin2009cAsym,subcortex,50,True,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
TianS4,MNI152NLin6Asym,subcortex,54,True,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
TianS4,MNI152NLin2009cAsym,subcortex,54,True,1mm,10.1093/cercor/bhx179; 0.1038/s41593-020-00711-6,MIT
DesikanKilliany,MNI152NLin6Asym,cortex,68,True,1mm,10.1016/j.neuroimage.2006.01.021; doi.org/10.12751/g-node.2mnxpm,free
DesikanKilliany,MNI152NLin2009cAsym,cortex,68,True,1mm,10.1016/j.neuroimage.2006.01.021; doi.org/10.12751/g-node.2mnxpm,free
DesikanKilliany,fsaverage,cortex,68,True,41k,10.1016/j.neuroimage.2006.01.021; doi.org/10.12751/g-node.2mnxpm,free
DesikanKilliany,fsLR,cortex,68,True,32k,10.1016/j.neuroimage.2006.01.021; doi.org/10.12751/g-node.2mnxpm,free
DesikanKillianyTourville,MNI152NLin6Asym,cortex,62,True,1mm,10.3389/fnins.2012.00171; doi.org/10.12751/g-node.2mnxpm,free
DesikanKillianyTourville,MNI152NLin2009cAsym,cortex,62,True,1mm,10.3389/fnins.2012.00171; doi.org/10.12751/g-node.2mnxpm,free
DesikanKillianyTourville,fsaverage,cortex,62,True,41k,10.3389/fnins.2012.00171; doi.org/10.12751/g-node.2mnxpm,free
DesikanKillianyTourville,fsLR,cortex,62,True,32k,10.3389/fnins.2012.00171; doi.org/10.12751/g-node.2mnxpm,free
Destrieux,MNI152NLin6Asym,cortex,148,True,1mm,10.1016/j.neuroimage.2010.06.010; doi.org/10.12751/g-node.2mnxpm,free
Destrieux,MNI152NLin2009cAsym,cortex,148,True,1mm,10.1016/j.neuroimage.2010.06.010; doi.org/10.12751/g-node.2mnxpm,free
Destrieux,fsaverage,cortex,148,True,41k,10.1016/j.neuroimage.2010.06.010; doi.org/10.12751/g-node.2mnxpm,free
Destrieux,fsLR,cortex,148,True,32k,10.1016/j.neuroimage.2010.06.010; doi.org/10.12751/g-node.2mnxpm,free
Glasser,MNI152NLin6Asym,cortex,360,True,1mm,10.1038/nature18933; https://figshare.com/articles/dataset/HCP-MMP1_0_projected_on_fsaverage/3498446,free
Glasser,MNI152NLin2009cAsym,cortex,360,True,1mm,10.1038/nature18933; https://figshare.com/articles/dataset/HCP-MMP1_0_projected_on_fsaverage/3498446,free
Glasser,fsaverage,cortex,360,True,41k,10.1038/nature18933; https://figshare.com/articles/dataset/HCP-MMP1_0_projected_on_fsaverage/3498446,free
Glasser,fsLR,cortex,360,True,32k,10.1038/nature18933; https://figshare.com/articles/dataset/HCP-MMP1_0_projected_on_fsaverage/3498446,free
Aseg,MNI152NLin6Asym,subcortex,16,True,1mm,10.1016/s0896-6273(02)00569-x,free
Aseg,MNI152NLin2009cAsym,subcortex,16,True,1mm,10.1016/s0896-6273(02)00569-x,free
HarvardOxfordCortical,MNI152NLin6Asym,cortex,96,True,1mm,doi.org/10.1016/j.schres.2005.11.020; doi.org/10.1016/j.neuroimage.2006.01.021,free
HarvardOxfordCortical,MNI152NLin2009cAsym,cortex,96,True,1mm,doi.org/10.1016/j.schres.2005.11.020; doi.org/10.1016/j.neuroimage.2006.01.021,free
HarvardOxfordCortical,fsaverage,cortex,96,True,41k,doi.org/10.1016/j.schres.2005.11.020; doi.org/10.1016/j.neuroimage.2006.01.021,free
HarvardOxfordCortical,fsLR,cortex,96,True,32k,doi.org/10.1016/j.schres.2005.11.020; doi.org/10.1016/j.neuroimage.2006.01.021,free
