collection,author,doi
CellTypesPsychEncodeTPM,Lake2016,10.1126/science.aaf1204
CellTypesPsychEncodeTPM,Darmanis2015,10.1073/pnas.1507125112
CellTypesPsychEncodeTPM,Wang2018,10.1126/science.aat8464
CellTypesPsychEncodeUMI,Lake2018,10.1038/nbt.4038
CellTypesPsychEncodeUMI,Wang2018,10.1126/science.aat8464
CellTypesSiletti,Siletti2023,10.1126/science.add7046
SynGO,Koopmans2019,10.1016/j.neuron.2019.05.002
